ID;ENLACE PERMANENTE;NOMBRE USUARIO;@;FECHA;RETWEETS;FAVORITO;MENCIONA;HASHTAGS;GEO;TEXTO;
1,22E+18;,https://twitter.com/utpl/status/1215306010866397189;,utpl;,None;,2020-01-09 16:15:06+00:00;0;0,4;,@catimier @ObservacomU;,#Comunicaci;,;",""b'@catimier, coordinadora de @ObservacomU expone sobre el tratamiento informativo de los medios de comunicaci\xc3\xb3n en el Festival Internacional de Artes Vivas Loja (FIAVL). Conversatorio #Comunicaci\xc3\xb3nUTPL'""";
;;;;;;;;;;;
1,22E+18;,https://twitter.com/ObservacomU/status/1215302213448486912;,ObservacomU;,None;,2020-01-09 16:00:01+00:00;0;0;,@catimier @ObservacomU @FestivalDeLoja;,#FIAVL;,;",""b'A continuaci\xc3\xb3n, @catimier coordinadora del @ObservacomU profundiza sobre el tratamiento informativo de los medios de comunicaci\xc3\xb3n en el Festival Internacional de Artes Vivas Loja, 2019 (@FestivalDeLoja - #FIAVL).'""";
;;;;;;;;;;;
1,21E+18;,https://twitter.com/XndreSz/status/1210990887787995136;,XndreSz;,None;,2019-12-28 18:28:21+00:00;0,1;0,1;,;,#RickAndMorty #MrMeeseeks #Travel #Viaje #Viajeros #NikonD3100 #Nikon #Musicians #Musicos #Travelers #Photograph #Photography #Fotografia #FIAVL #Loja #Ecuador;,;,b'Wachame... \xe2\x80\xa2 \xe2\x80\xa2 \xe2\x80\xa2 \xe2\x80\xa2 \xe2\x80\xa2 #RickAndMorty #MrMeeseeks #Travel #Viaje #Viajeros #NikonD3100 #Nikon #Musicians #Musicos #Travelers #Photograph #Photography #Fotografia #FIAVL #Loja #Ecuador https://www.instagram.com/p/B6oEwh0ptgD/?igshid=c7t1hikv0b2r';
;;;;;;;;;;;
1,21E+18;,https://twitter.com/queendelqueso/status/1205977309217513474;,queendelqueso;,None;,2019-12-14 22:26:11+00:00;0,1;0,47;,@d_cholakian;,;,;",""b'Mi pap\xc3\xa1 @d_cholakian es el ganador del premio de periodismo y fotograf\xc3\xada M\xc3\xa1s Tuyo que Nunca 2019 por su trabajo con el tema """"FIAVL 2019: Primeras im\xc3\xa1genes del Teatro Ecuatoriano"""". Orgullo total'""";
;;;;;;;;;;;
1,21E+18;,https://twitter.com/juliovivanco3/status/1205250917450293248;,juliovivanco3;,luisevivanco;,2019-12-12 22:19:45+00:00;0;0,2;,;,;,;",""b'3/3 Primer y m\xc3\xa1s grande parque recreacional JIPIRO Pionera en estudios universitarios a distancia Sede del FIAVL Festival de Artes Vivas ,Festival cultural mas grande del Ecuador PRIMER DINOSAURIO DESCUBIERTO EN EL ECUADOR SAMANASAURUS LOJAENSIS.'""";
;;;;;;;;;;;
